titulo,dt_lancamento,genero,pais,n_semanas,publico,renda
A Bela Junie,2009-01-01,Ficção,França,49,17058,140344.93
Bolt Supercão,2009-01-01,Animação,Estados Unidos,27,1087649,8941187
Se Eu Fosse Você 2,2009-01-02,Ficção,Brasil,44,5787244,47624137
A Troca,2009-01-09,Ficção,Estados Unidos,14,272932,2503972
Alguém Que Me Ame De Verdade,2009-01-09,Ficção,Estados Unidos,14,21883,200923.61
Dois Em Um,2009-01-09,Ficção,França,34,4073,30246.05
O Dia Em Que A Terra Parou,2009-01-09,Ficção,Estados Unidos,14,1458321,12062074
O Grilo Feliz E Os Insetos Gigantes,2009-01-09,Animação,Brasil,68,370466,1952806.17
As Testemunhas,2009-01-16,Ficção,França,54,8725,65138.1
"Beijo Na Boca, Não!",2009-01-16,Ficção,França,14,9358,86642
Fundo Do Mar 3D,2009-01-16,Documentário,"Canadá, Estados Unidos",21,61294,1098545
Inútil,2009-01-16,Documentário,"China, Hong Kong",23,3473,31751.19
O Corajoso Ratinho Despereaux,2009-01-16,Animação,"Estados Unidos, Reino Unido",20,249227,1846456
O Curioso Caso De Benjamin Button,2009-01-16,Ficção,Estados Unidos,17,2083246,18691102
Quarentena,2009-01-16,Ficção,Estados Unidos,14,111691,911555
Titãs - A Vida Até Parece Uma Festa,2009-01-16,Documentário,Brasil,22,15211,144600.42
Austrália,2009-01-23,Ficção,Estados Unidos,14,312944,2739993
Novo Século Americano,2009-01-23,Documentário,Itália,5,1571,14053
Rumba,2009-01-23,Ficção,França,34,21940,195291.76
Surpresas Do Amor,2009-01-23,Ficção,Estados Unidos,14,257960,2184983.64
Um Faz De Conta Que Acontece,2009-01-23,Ficção,Estados Unidos,18,1005573,7497636
Um Taxi Para A Escuridão,2009-01-23,Documentário,Estados Unidos,6,1257,10061
Abba O Filme,2009-01-30,Documentário,"Austrália, Suécia",7,3488,19157.82
Barry & A Banda Das Minhocas,2009-01-30,Animação,Dinamarca,24,85311,632870.15
Foi Apenas Um Sonho,2009-01-30,Ficção,"Estados Unidos, Reino Unido",18,232098,2118382
Ninho Vazio,2009-01-30,Ficção,Argentina,40,36666,315153.22
Sim Senhor,2009-01-31,Ficção,Estados Unidos,19,1376092,11546965
Dúvida,2009-02-06,Ficção,Estados Unidos,17,164467,1564099
Noivas Em Guerra,2009-02-06,Ficção,Estados Unidos,12,443250,3730047
O Leitor,2009-02-06,Ficção,Estados Unidos,27,406634,3782859.92
Verônica,2009-02-06,Ficção,Brasil,24,103905,740059.02
Contratempo - Uma Valsa Da Dor,2009-02-13,Documentário,Brasil,16,2045,11098.75
Coraline E O Mundo Secreto,2009-02-13,Animação,Estados Unidos,23,304478,2869673
O Casamento De Rachel,2009-02-13,Ficção,Estados Unidos,26,76120,767241
O Lutador,2009-02-13,Ficção,Estados Unidos,19,111787,1047260.94
Operação Valquíria,2009-02-13,Ficção,Estados Unidos,13,1144728,9946310
Sexta-Feira 13: Bem-Vindo A Crystal Lake,2009-02-13,Ficção,Estados Unidos,14,267339,2253858
Perdido Pra Cachorro,2009-02-14,Ficção,Estados Unidos,17,160984,1217970
A Pantera Cor De Rosa 2,2009-02-20,Ficção,Estados Unidos,13,586245,4653545
Milk - A Voz Da Igualdade,2009-02-20,Ficção,Estados Unidos,20,212719,2110578
Rio Congelado,2009-02-20,Ficção,Estados Unidos,28,13184,106261
Um Hotel Bom Pra Cachorro,2009-02-20,Ficção,"Estados Unidos, Alemanha",18,510608,3865896
3 Macacos,2009-02-27,Ficção,Turquia,37,13278,128998.84
Força Policial,2009-02-27,Ficção,Estados Unidos,12,125586,1094176
Patativa Do Assaré - Ave Poesia,2009-03-02,Documentário,Brasil,15,2723,15193.15
Frost/Nixon,2009-03-06,Ficção,Estados Unidos,19,23965,266930
Glória Ao Cineasta,2009-03-06,Ficção,Japão,5,732,6693.5
O Menino Da Porteira,2009-03-06,Ficção,Brasil,37,669287,4567785
Quem Quer Ser Um Milionário?,2009-03-06,Ficção,Inglaterra,18,1379754,12860921.05
Vitus,2009-03-06,Ficção,Suíça,20,6030,48574.8
Watchmen - O Filme,2009-03-06,Ficção,Estados Unidos,13,539796,4630370
Entre Os Dedos,2009-03-07,Ficção,Brasil,16,624,3596.5
Bela Noite Para Voar,2009-03-13,Ficção,Brasil,24,30983,165133
Entre Os Muros Da Escola,2009-03-13,Ficção,França,38,127582,1096639.42
Jogo Entre Ladrões,2009-03-13,Ficção,Estados Unidos,10,264062,2354983.1
O Visitante,2009-03-13,Ficção,Estados Unidos,14,26086,245193.25
Palavra (En)Cantada,2009-03-13,Documentário,Brasil,28,32464,261289.89
Sex Drive: Rumo Ao Sexo,2009-03-13,Ficção,Estados Unidos,9,44548,336825.66000000003
Tô De Férias,2009-03-13,Animação,Alemanha,28,97311,727621.72
Dia Dos Namorados Macabro 3D,2009-03-14,Ficção,Estados Unidos,15,251429,2555728.19
Alma Perdida,2009-03-20,Ficção,Estados Unidos,16,219519,1809376
Gran Torino,2009-03-20,Ficção,Estados Unidos,24,348858,3446558
Lição De Amor,2009-03-20,Ficção,Itália,20,7451,59343.94
The Spirit - O Filme,2009-03-20,Ficção,Estados Unidos,15,102321,870408
"Vamos Subir, Leão",2009-03-20,Documentário,Brasil,1,0,0
Pagando Bem Que Mal Tem?,2009-03-21,Ficção,Estados Unidos,8,206277,1688575.44
Anabazys,2009-03-27,Documentário,Brasil,8,842,6164.5
Aventuras Do Surf Ii,2009-03-27,Documentário,Brasil,20,64017,476445
Che,2009-03-27,Ficção,Estados Unidos,27,160588,1443776.79
Ele Não Está Tão Afim,2009-03-27,Ficção,Estados Unidos,14,834552,7651193.86
Passageiros,2009-03-27,Ficção,Estados Unidos,11,120241,1003160.7999999999
Segredos Íntimos,2009-03-27,Ficção,Israel,13,14084,135520.2
Simplesmente Feliz,2009-03-27,Ficção,Inglaterra,22,59647,525441.53
Um Cara Muito Louco...Apaixonado,2009-03-27,Ficção,Inglaterra,8,21638,169898.91
O Fim Da Picada,2009-03-28,Ficção,Brasil,25,941,4901
Katyn,2009-04-03,Ficção,Polônia,13,12145,111172.96
Lanchonete Olympia,2009-04-03,Ficção,Estados Unidos,9,1038,8584
Monstros Vs Alienígenas,2009-04-03,Animação,Estados Unidos,25,1418995,13576987
Por Amor,2009-04-03,Ficção,Estados Unidos,16,39348,349158.54
Senhores Do Vento,2009-04-03,Documentário,Brasil,1,19,186
Valsa Com Bashir,2009-04-03,Animação,"Alemanha, Austrália, Bélgica, Estados Unidos, Finlândia, França, Israel, Suíça",34,27099,238260.25
Velozes E Furiosos 4,2009-04-03,Ficção,Estados Unidos,17,2308197,20010990
Delírios De Consumo De Becky Bloom,2009-04-10,Ficção,Estados Unidos,18,158923,1577260
Dragonball Evolution,2009-04-10,Ficção,Estados Unidos,20,482895,3664655
Fiel - O Filme,2009-04-10,Documentário,Brasil,9,53929,469204.81999999995
O Equilibrista,2009-04-10,Documentário,"Estados Unidos, Reino Unido",29,8757,76258.5
Presságio,2009-04-10,Ficção,Estados Unidos,15,943863,8479764.59
Território Restrito,2009-04-10,Ficção,Estados Unidos,13,35812,312633.7
Tony Manero,2009-04-10,Ficção,Chile,3,280,2020.5
W.,2009-04-10,Ficção,Estados Unidos,21,12741,120724.6
"Vocês, Os Vivos",2009-04-11,Ficção,Suécia,22,6933,58855.52
A Montanha Enfeitiçada,2009-04-17,Ficção,Estados Unidos,19,281068,2283514
Anjos Da Noite - A Rebelião,2009-04-17,Ficção,Estados Unidos,13,380302,3206656
Divã,2009-04-17,Ficção,Brasil,35,1866403,16497260.61
Evocando Espíritos,2009-04-17,Ficção,"Canadá, Estados Unidos",13,377765,3285677.0700000003
Honeydripper,2009-04-17,Ficção,Estados Unidos,10,2056,21631.5
Mataram Irmã Dorothy,2009-04-17,Documentário,Estados Unidos,3,1199,10364.5
"Sinédoque, Nova Iorque",2009-04-17,Ficção,Estados Unidos,27,23516,214017.03
Iron Maiden: Flight 666,2009-04-21,Documentário,Estados Unidos,5,13864,161227.28
Terra,2009-04-22,Documentário,Estados Unidos,36,27236,202069.5
Eu Odeio O Dia Dos Namorados,2009-04-24,Ficção,Estados Unidos,13,185663,1633991.0799999998
"Eu Te Amo, Cara",2009-04-24,Ficção,Estados Unidos,13,113905,1061827
Fumando Espero,2009-04-24,Documentário,Brasil,6,2596,16555.5
Filmefobia,2009-04-30,Ficção,Brasil,30,5244,34555
Milagre Em Sta. Anna,2009-04-30,Ficção,Estados Unidos,15,5649,49285.89
Recém Chegada,2009-04-30,Ficção,Estados Unidos,15,109058,1031161.7700000001
A Festa Do Garfield,2009-05-01,Animação,Estados Unidos,25,185391,1431846.77
A Garota Ideal,2009-05-01,Ficção,"Canadá, Estados Unidos",15,8708,71726.72
A Janela,2009-05-01,Ficção,Argentina,31,20124,187031.81
Alexandra,2009-05-01,Ficção,"França, Rússia",18,6693,46554.72
Atrizes,2009-05-01,Ficção,França,31,5881,46205.7
Cinzas Do Passado Redux,2009-05-01,Ficção,Hong Kong,6,5738,55542.5
Paulo Gracindo - O Bem Amado,2009-05-01,Documentário,Brasil,21,8968,75275.3
X-Men Origens: Wolverine,2009-05-01,Ficção,Estados Unidos,14,3199434,27352313
A Ilha Da Morte,2009-05-08,Ficção,Brasil,17,2177,23390.93
Import Export,2009-05-08,Ficção,Áustria,11,3561,31117.5
Star Trek,2009-05-08,Ficção,Estados Unidos,16,396586,3736979
Um Ato De Liberdade,2009-05-08,Ficção,Estados Unidos,11,64481,638355.6
Adagio Sostenuto,2009-05-15,Ficção,Brasil,11,2107,9556.5
Anjos E Demônios,2009-05-15,Ficção,Estados Unidos,17,3059245,28006514.75
Desejo E Perigo,2009-05-15,Ficção,China,34,60850,575245.18
Kfz-1348,2009-05-15,Documentário,Brasil,4,736,2616
Simonal - Ninguém Sabe O Duro Que Dei,2009-05-15,Documentário,Brasil,25,71056,689003.21
"Cinderelas, Lobos E Um Príncipe Encantado",2009-05-18,Documentário,Brasil,8,3066,12004.5
Budapeste,2009-05-22,Ficção,Brasil,27,97542,862662.29
Uma Noite No Museu 2,2009-05-23,Ficção,Estados Unidos,31,2602771,21118969
Donkey Xote,2009-05-29,Animação,Espanha,17,57243,437894.68999999994
Estação Espacial 3D,2009-05-29,Documentário,Canadá,17,16285,288505
Garapa,2009-05-29,Documentário,Brasil,24,4701,34907.24
Heróis,2009-05-29,Ficção,Estados Unidos,11,39947,332640.58999999997
Jonas Brothers 3D: O Show,2009-05-29,Documentário,Estados Unidos,5,105544,1329714
Killshot - Tiro Certo,2009-05-29,Ficção,Estados Unidos,12,27275,263163.76
Os Falsários,2009-05-29,Ficção,"Alemanha, Áustria",18,54665,516789.07
1983.. O Ano Azul,2009-06-05,Documentário,Brasil,3,2313,23001.98
A Morte Inventada - Alienação Parental,2009-06-05,Documentário,Brasil,1,182,886
A Mulher Invisível,2009-06-05,Ficção,Brasil,29,2353646,20500361
A Partida,2009-06-05,Ficção,Japão,51,89325,816753.8300000001
Caramelo,2009-06-05,Ficção,Líbano,32,54359,510335.85
"De Repente, California",2009-06-05,Ficção,Estados Unidos,20,33255,307288.57
Duplicidade,2009-06-05,Ficção,"Alemanha, Estados Unidos",17,152205,1534370
"Home - Nosso Planeta, Nossa Casa",2009-06-05,Documentário,França,12,4931,37514.76
O Exterminador Do Futuro: A Salvação,2009-06-05,Ficção,Estados Unidos,18,1385608,12262255.25
Um Homem De Moral,2009-06-05,Documentário,Brasil,15,6784,98555.5
A Festa Da Menina Morta,2009-06-11,Ficção,Brasil,29,16414,131091.3
Apenas O Fim,2009-06-11,Ficção,Brasil,20,24693,159035.5
As Cantoras Do Rádio,2009-06-11,Documentário,Brasil,13,2604,13033.23
Hannah Montana - O Filme,2009-06-11,Ficção,Estados Unidos,18,632018,5015850.25
Intrigas De Estado,2009-06-11,Ficção,Estados Unidos,16,172736,1759204
Minhas Adoráveis Ex-Namoradas,2009-06-11,Ficção,Estados Unidos,19,405762,3767962.39
Stella,2009-06-11,Ficção,França,27,15396,134070.77
Romeu: O Vira-Lata Atrapalhado,2009-06-12,Animação,Índia,33,77577,456247.54
Loki - Arnaldo Baptista,2009-06-19,Documentário,Brasil,14,15588,141466.68
Tinha Que Ser Você,2009-06-19,Ficção,Estados Unidos,21,159870,1541754.26
Trama Internacional,2009-06-19,Ficção,Estados Unidos,17,117937,1205306
Transformers: A Vingança Dos Derrotados,2009-06-23,Ficção,Estados Unidos,18,2149681,17483513
23 Anos Em 7 Segundos: 1977 - O Fim Do Jejum Corinthiano,2009-06-26,Documentário,Brasil,4,1718,14936
A Erva Do Rato,2009-06-26,Ficção,Brasil,16,3546,31690
Há Tanto Tempo Que Te Amo,2009-06-26,Ficção,França,21,56750,491787.08999999997
Jean Charles,2009-06-26,Ficção,Brasil,27,294231,2454006.12
A Era Do Gelo 3,2009-07-03,Animação,Estados Unidos,28,9281202,81126935
Casamento Silencioso,2009-07-03,Ficção,Romênia,38,17173,150447.52
Horas De Verão,2009-07-03,Ficção,França,29,50222,430419.24
Inimigo Publico Nº 1 - Instinto De Morte,2009-07-03,Ficção,França,21,14800,146203.72
Paris,2009-07-03,Ficção,França,47,63242,561382.68
Zico Na Rede,2009-07-03,Documentário,Brasil,2,546,2529.5
A Proposta,2009-07-10,Ficção,Estados Unidos,20,1460499,13119561.5
Bem-Vindo,2009-07-10,Ficção,França,36,20667,168941.7
Dezessete Outra Vez,2009-07-10,Ficção,Estados Unidos,15,329512,2546999.73
Manhã Transfigurada,2009-07-10,Ficção,Brasil,21,1708,10722.5
Harry Potter E O Enigma Do Príncipe,2009-07-15,Ficção,"Estados Unidos, Reino Unido",20,4530794,36187922.6
A Garota De Mônaco,2009-07-17,Ficção,França,41,15720,139855.29
American Teen,2009-07-17,Documentário,Estados Unidos,4,257,1987
Cine Cocoricó: As Aventuras Na Cidade,2009-07-17,Ficção,Brasil,12,22565,175249.03
Enquanto O Sol Não Vem,2009-07-17,Ficção,França,43,17550,155870.53
Coração Vagabundo,2009-07-24,Documentário,Brasil,16,19494,189614
Halloween - O Início,2009-07-24,Ficção,Estados Unidos,13,173418,1413089.1500000001
Inimigos Públicos,2009-07-24,Ficção,Estados Unidos,17,572428,5182537
O Grupo Baader Meinhof,2009-07-24,Ficção,Alemanha,19,16796,168787.95
O Guerreiro Genghis Khan,2009-07-24,Ficção,"Alemanha, Cazaquistão, Rússia",13,29527,256069.73
À Deriva,2009-07-31,Ficção,"Brasil, Estados Unidos",21,94588,870171
Almoço Em Agosto,2009-07-31,Ficção,Itália,31,43979,391337.31
Efeito Borboleta: Revelação,2009-07-31,Ficção,Estados Unidos,12,140196,1175143.1900000002
Kurt Cobain - Retrato De Uma Ausência,2009-07-31,Documentário,Estados Unidos,7,1421,11242
Rindo A Toa,2009-07-31,Ficção,França,22,5884,56821.67
A Vida Secreta Das Abelhas,2009-08-07,Ficção,Estados Unidos,20,14367,110159
G.I. Joe - A Origem De Cobra,2009-08-07,Ficção,Estados Unidos,15,772320,6292661
Marido Por Acaso,2009-08-07,Ficção,Estados Unidos,14,227564,2034325
Moscou,2009-08-07,Documentário,Brasil,13,7993,59762
O Contador De Histórias,2009-08-07,Ficção,Brasil,21,151927,1118268
O Nome Dela É Sabine,2009-08-07,Documentário,França,31,7223,61185.56
Um Romance De Geração,2009-08-07,Ficção,Brasil,10,793,6184.5
Aquele Querido Mês De Agosto,2009-08-14,Ficção,Portugal,23,10995,103153.63
Arraste-Me Para O Inferno,2009-08-14,Ficção,Estados Unidos,15,384212,3212231
Bruno,2009-08-14,Ficção,Estados Unidos,14,226644,2163880.5
Confissões De Uma Garota De Programa,2009-08-14,Ficção,Estados Unidos,18,15855,129156.28
Força G,2009-08-14,Ficção,Estados Unidos,16,886773,7780413
Se Nada Mais Der Certo,2009-08-14,Ficção,Brasil,19,12798,101489.36
Tempos De Paz,2009-08-14,Ficção,Brasil,19,95792,799359
A Onda,2009-08-21,Ficção,Alemanha,19,47764,405723.6
A Teta Assustada,2009-08-21,Ficção,"Peru, Espanha",28,10180,78567.1
Gigante,2009-08-21,Ficção,Uruguai,27,16028,142934.71
Juízo Final,2009-08-21,Ficção,Inglaterra,9,50330,375094.09
Nada Vai Nos Separar,2009-08-21,Documentário,Brasil,6,5407,47118.240000000005
"Se Beber, Não Case!",2009-08-21,Ficção,Estados Unidos,18,1764821,15758293
Verônika Decide Morrer,2009-08-21,Ficção,Estados Unidos,14,41562,361321.23
"Waldick, Sempre No Meu Coração",2009-08-21,Documentário,Brasil,11,3591,17076.5
A Pedra Mágica,2009-08-28,Ficção,Estados Unidos,14,71915,532307
Amantes,2009-08-28,Ficção,Estados Unidos,23,129846,1309263.05
Anticristo,2009-08-28,Ficção,"Alemanha, Dinamarca, França, Itália, Polônia",30,73465,648887.86
Batatinha Poeta Do Samba,2009-08-28,Documentário,Brasil,2,221,1863
O Milagre De Santa Luzia,2009-08-28,Documentário,Brasil,18,6099,42103.75
Os Normais 2,2009-08-28,Ficção,Brasil,17,2202640,18978259.88
Caro Sr. Horten,2009-08-29,Ficção,Noruega,9,2632,21093.53
A Órfã,2009-09-04,Ficção,Estados Unidos,12,184058,1541008
Gesto Obsceno,2009-09-04,Ficção,Israel,12,9241,85979.21
O Sequestro Do Metrô 123,2009-09-04,Ficção,Estados Unidos,12,860582,7958011
Uma Canção De Amor,2009-09-04,Ficção,França,12,9316,76887.18000000001
Up - Altas Aventuras,2009-09-04,Animação,Estados Unidos,43,2058574,19461084.5
High School Band,2009-09-11,Ficção,Estados Unidos,11,35480,263363.01
Falando Grego,2009-09-12,Ficção,Estados Unidos,9,171690,1486340.98
Uma Prova De Amor,2009-09-12,Ficção,Estados Unidos,13,267916,2314547.38
A Verdade Nua E Crua,2009-09-18,Ficção,Estados Unidos,17,1474442,13200367
Che 2 - A Guerrilha,2009-09-18,Ficção,Estados Unidos,15,25895,241385.46
Doce De Coco,2009-09-18,Ficção,Brasil,16,1017,4195
Goodbye...Solo,2009-09-18,Ficção,Estados Unidos,15,8154,77087.5
A Era Da Estupidez,2009-09-22,Documentário,Inglaterra,1,804,6082.5
Diário Proibido,2009-09-25,Ficção,Espanha,18,14371,121923.48000000001
Jogando Com Prazer,2009-09-25,Ficção,Estados Unidos,12,120272,1080523.9200000002
Pacto Secreto,2009-09-25,Ficção,Estados Unidos,12,74989,584979.3099999999
Pequenos Invasores,2009-09-25,Ficção,Estados Unidos,15,152127,1117488
Vila 21,2009-09-25,Ficção,Argentina,2,299,2428
Algo Que Você Precisa Saber,2009-10-02,Ficção,França,28,24039,217101.09
Deixa Ela Entrar,2009-10-02,Ficção,Suécia,63,38413,374253.17
Gamer,2009-10-02,Ficção,Estados Unidos,9,139723,1185508.06
O Fundo Do Mar,2009-10-02,Ficção,Argentina,3,178,987.4
Quanto Dura O Amor?,2009-10-02,Ficção,Brasil,31,11015,80765.42
Salve Geral,2009-10-02,Ficção,Brasil,14,317152,2644263.52
Tá Chovendo Hamburger,2009-10-02,Animação,Estados Unidos,22,1430854,13785065.25
Terror Na Antártida,2009-10-03,Ficção,Estados Unidos,10,83853,714321
9 - A Salvação,2009-10-09,Animação,Estados Unidos,9,121648,1018796.44
Bastardos Inglórios,2009-10-09,Ficção,Estados Unidos,30,900001,8922862
Flordelis - Basta Uma Palavra Para Mudar,2009-10-09,Ficção,Brasil,8,21603,180751.02
Herbert De Perto,2009-10-09,Documentário,Brasil,15,27408,240544.49
O Golfinho - A História De Um Sonhador,2009-10-09,Animação,Peru,29,73442,522706
Arranca-Me A Vida,2009-10-16,Ficção,México,15,2026,16673
Corpo Do Rio,2009-10-16,Documentário,Brasil,5,941,2095
Distrito 9,2009-10-16,Ficção,"África Do Sul, Canadá, Estados Unidos, Nova Zelândia",18,515429,4622102
Estórias De Trancoso,2009-10-16,Ficção,Brasil,6,267,1907
Fados,2009-10-16,Documentário,"Espanha, Portugal",23,14721,130560.16
Novidades No Amor,2009-10-16,Ficção,Estados Unidos,12,206435,1820824.49
O Caçador,2009-10-16,Ficção,Coréia Do Sul,7,2885,27725.3
O Desinformante,2009-10-16,Ficção,Estados Unidos,15,78243,827523
Te Amarei Para Sempre,2009-10-16,Ficção,Estados Unidos,15,283378,2487927.3200000003
Bons Costumes,2009-10-23,Ficção,Canadá,27,37105,357672.75
Garota Infernal,2009-10-23,Ficção,Estados Unidos,12,91274,752787
Mesa De Bar Onde Tudo Acontece,2009-10-23,Ficção,Brasil,1,104,1061
Substitutos,2009-10-23,Ficção,Estados Unidos,13,351727,3204036
Vigaristas,2009-10-23,Ficção,Estados Unidos,11,35698,332218.97
Alguns Motivos Para Não Se Apaixonar,2009-10-24,Ficção,Argentina,21,5019,39314.3
Michael Jackson This Is It,2009-10-28,Documentário,Estados Unidos,5,712518,6365742.25
"Alô, Alô, Terezinha!",2009-10-30,Documentário,Brasil,17,26530,223512.71000000002
Besouro,2009-10-30,Ficção,Brasil,28,492659,3803835.75
Coco Antes De Chanel,2009-10-30,Ficção,França,26,162089,1687131
Matadores De Vampiras Lésbicas,2009-10-30,Ficção,Inglaterra,6,125093,1077350.23
Velhas Guardas,2009-10-30,Documentário,Brasil,2,54,75
500 Dias Com Ela,2009-11-06,Ficção,Estados Unidos,23,245906,2305334
A Procura De Eric,2009-11-06,Ficção,Inglaterra,20,24366,234768.23
Código De Conduta,2009-11-06,Ficção,Estados Unidos,17,395993,3570435.98
Fama,2009-11-06,Ficção,Estados Unidos,8,39527,337172.27999999997
Jogos Mortais 6,2009-11-06,Ficção,Estados Unidos,17,391231,3196894
O Solista,2009-11-06,Ficção,Estados Unidos,19,51359,457004
Os Fantasmas De Scrooge,2009-11-06,Animação,Estados Unidos,24,454857,5409821
Terra Sonâmbula,2009-11-06,Ficção,Portugal,5,713,5949
Um Lobisomem Na Amazônia,2009-11-06,Ficção,Brasil,3,625,5018.4
2012,2009-11-13,Ficção,Estados Unidos,19,5279983,44728067
Aconteceu Em Woodstock,2009-11-13,Ficção,Estados Unidos,29,34835,330641
De Profundis,2009-11-13,Animação,Espanha,9,2002,15193.39
Hotel Atlântico,2009-11-13,Ficção,Brasil,7,6516,45119.5
No Meu Lugar,2009-11-13,Ficção,Brasil,20,5447,32280.36
Tokyo,2009-11-13,Ficção,França,30,7349,62127.76
Um Namorado Para Minha Esposa,2009-11-13,Ficção,Argentina,21,17781,165980.19
Lua Nova,2009-11-20,Ficção,Estados Unidos,39,5965054,47935346.879999995
Mistéryos,2009-11-20,Ficção,Brasil,1,155,558
"Polícia, Adjetivo",2009-11-20,Ficção,Romênia,9,2681,24151.5
Sem Fio,2009-11-20,Ficção,Brasil,2,248,1560
Som E Fúria,2009-11-20,Ficção,Brasil,4,591,3034
Topografia De Um Desnudo,2009-11-20,Ficção,Brasil,9,1488,6065
A Trilha,2009-11-27,Ficção,Estados Unidos,13,42981,329708.59
Cidadão Boilesen,2009-11-27,Documentário,Brasil,13,7958,76670.28
Do Começo Ao Fim,2009-11-27,Ficção,Brasil,31,86592,775401.23
Eliezer Batista - O Engenheiro Do Brasil,2009-11-27,Documentário,Brasil,4,1403,12646
Entre A Luz E A Sombra,2009-11-27,Documentário,Brasil,4,341,2603
Julie E Julia,2009-11-27,Ficção,Estados Unidos,26,217834,2189358.75
Planeta 51,2009-11-27,Animação,"Espanha, Reino Unido",23,558463,3950989.13
Abraços Partidos,2009-12-04,Ficção,Espanha,26,258594,2551389
Atividade Paranormal,2009-12-04,Ficção,Estados Unidos,19,1086788,9078655.24
É Proibido Fumar,2009-12-04,Ficção,Brasil,28,48306,411420.99
O Fantástico Senhor Raposo,2009-12-04,Animação,Estados Unidos,22,14558,113797
A Princesa E O Sapo,2009-12-11,Animação,Estados Unidos,29,1012119,7047832.75
Br-3 - A Peça,2009-12-11,Documentário,Brasil,2,89,468
Br-3 Documentário,2009-12-11,Documentário,Brasil,4,190,743.38
Embarque Imediato,2009-12-11,Ficção,Brasil,12,38099,313177.79
O Amor Pede Passagem,2009-12-11,Ficção,Estados Unidos,18,110457,956616.6699999999
O Diário De Sintra,2009-12-11,Documentário,Brasil,10,1066,9350
Ouro Negro,2009-12-11,Ficção,Brasil,16,3709,16473.1
Partir,2009-12-11,Ficção,França,21,11606,115649.02
Praça Saens Peña,2009-12-11,Ficção,Brasil,14,5325,49112.55
A Vida Íntima De Pippa Lee,2009-12-18,Ficção,Estados Unidos,21,16760,157924.19
Avatar,2009-12-18,Ficção,Estados Unidos,29,9111628,102346712
O Poder Do Soul,2009-12-18,Documentário,Estados Unidos,3,305,2656
Uma Vida Sem Regras,2009-12-18,Ficção,Reino Unido,4,3289,33225.7
"Nova York, Eu Te Amo",2009-12-19,Ficção,Estados Unidos,28,91019,982757.62
Encontro De Casais,2009-12-25,Ficção,Estados Unidos,15,718981,6452286
Ervas Daninhas,2009-12-25,Ficção,França,29,42519,400606.25
Hanami - Cerejeiras Em Flor,2009-12-25,Ficção,Alemanha,63,76469,700232.26
Naufrágio - Mistério E Morte Na Catástrofe Do Príncipe De Astúrias,2009-12-25,Documentário,Brasil,1,0,0
Sempre Ao Seu Lado,2009-12-25,Ficção,Estados Unidos,15,734083,6504714.04
Um Segredo Em Família,2009-12-25,Ficção,França,35,32667,307187.08
Xuxa Em O Mistério De Feiurinha,2009-12-25,Ficção,Brasil,35,1307135,8484823.94
Contatos De 4º Grau,2010-01-01,Ficção,Estados Unidos,17,208370,1804469.6300000001
"Lula, O Filho Do Brasil",2010-01-01,Ficção,Brasil,35,848733,7066034.4
Procurando Elly,2010-01-01,Ficção,"França, Irã",34,18123,164360.76
Alvin E Os Esquilos 2,2010-01-08,Animação,Estados Unidos,28,5155971,38823646
Amor Extremo,2010-01-08,Ficção,Reino Unido,15,10850,90886.84999999999
Caro Francis,2010-01-08,Documentário,Brasil,9,3770,44117
Sherlock Holmes,2010-01-08,Ficção,Estados Unidos,15,2472825,21996832
A Mente Que Mente,2010-01-15,Ficção,Estados Unidos,18,26536,257213.92
À Moda Da Casa,2010-01-15,Ficção,Espanha,37,12865,109191.5
Ah... O Amor!,2010-01-15,Ficção,Itália,37,23433,206244.6
O Homem Que Engarrafava Nuvens,2010-01-15,Documentário,Brasil,24,19247,150684.5
Onde Vivem Os Monstros,2010-01-15,Ficção,Estados Unidos,17,85785,820881
Uma Mãe Em Apuros,2010-01-15,Ficção,Estados Unidos,10,14013,137910.99
Vício Frenético,2010-01-15,Ficção,Estados Unidos,19,136455,1301063.43
"Não, Minha Filha, Você Não Irá Dançar",2010-01-16,Ficção,França,16,12018,101497
A Bruxinha E O Dragão,2010-01-22,Ficção,"Áustria, Alemanha",20,5737,53616.7
Amor Sem Escalas,2010-01-22,Ficção,Estados Unidos,16,829184,8073761
Astro Boy,2010-01-22,Animação,Estados Unidos,22,131870,983963.5
Cheri,2010-01-22,Ficção,Estados Unidos,14,41639,409503.99
Cidade De Plástico,2010-01-22,Ficção,Brasil,8,433,4066
O Fada Do Dente,2010-01-22,Ficção,Estados Unidos,19,1197161,9201882
Só Dez Por Cento É Mentira,2010-01-22,Documentário,Brasil,17,5919,52032
Um Mar De Aventuras 3D,2010-01-22,Documentário,Estados Unidos,60,10060,192989.25
A Todo Volume,2010-01-29,Documentário,Estados Unidos,13,1046,9348
Confusões Em Família,2010-01-29,Ficção,Estados Unidos,9,6608,59583.28
Invictus,2010-01-29,Ficção,Estados Unidos,19,358130,3524329
O Fim Da Escuridão,2010-01-29,Ficção,Estados Unidos,15,452734,4067934.29
Tyson,2010-01-29,Documentário,Estados Unidos,1,268,2910
Nine,2010-01-30,Ficção,Estados Unidos,16,96043,920174
Zumbilândia,2010-01-30,Ficção,Estados Unidos,17,89062,749114
Guerra Ao Terror,2010-02-05,Ficção,Estados Unidos,21,158161,1407303.05
